iso3,date,year,month,exchange_rate,depreciation,log_depreciation,is_structural_break
CIV,1991-11-30,1991,11,278.849802751844,-0.024914765276685014,-0.025230391576174405,False
CIV,1991-12-31,1991,12,258.999816792999,-0.07118522503137648,-0.07384594113602237,False
CIV,1992-01-31,1992,1,274.989805482265,0.06173745173744938,0.059906671669494635,False
CIV,1992-02-29,1992,2,278.689802865022,0.013455034728535153,0.013365319599640123,False
CIV,1992-03-31,1992,3,278.374803087842,-0.0011302881337662551,-0.0011309273911410036,False
CIV,1992-04-30,1992,4,279.774802097534,0.00502918724741841,0.005016583126559524,False
CIV,1992-05-31,1992,5,270.574808605273,-0.032883567152175996,-0.033436384522880905,False
CIV,1992-06-30,1992,6,256.624818472986,-0.051556869629492685,-0.0529334488421124,False
CIV,1992-07-31,1992,7,249.974823176949,-0.02591329761325112,-0.026254962477186842,False
CIV,1992-08-31,1992,8,240.349829985317,-0.03850385038503967,-0.03926471852194459,False
CIV,1992-09-30,1992,9,238.24983147078,-0.008737258165172346,-0.008775651805654738,False
CIV,1992-10-31,1992,10,260.749815555113,0.09443861490031091,0.09024155134656679,False
CIV,1992-11-30,1992,11,271.424808004014,0.040939597315437615,0.040123764237035314,False
CIV,1992-12-31,1992,12,275.324805245299,0.014368610113292712,0.01426635993309358,False
CIV,1993-01-31,1993,1,270.299808799797,-0.018251157722694034,-0.018419764768608477,False
CIV,1993-02-28,1993,2,279.449802327427,0.03385127635960372,0.033290932433308405,False
CIV,1993-03-31,1993,3,273.944806221459,-0.01969940955448557,-0.019896029403596027,False
CIV,1993-04-30,1993,4,266.04981180609,-0.028819653580095972,-0.02924309526973416,False
CIV,1993-05-31,1993,5,269.599809294952,0.013343356511935411,0.013255117995775209,False
CIV,1993-06-30,1993,6,284.749798578403,0.05619436201780226,0.054672223289137754,False
CIV,1993-07-31,1993,7,298.524788834478,0.04837576821773304,0.047242079092155075,False
CIV,1993-08-31,1993,8,291.374793892123,-0.023951092873293667,-0.024242584063527094,False
CIV,1993-09-30,1993,9,283.149799710184,-0.02822822822822546,-0.028634304796104355,False
