iso3,date,year,month,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m
ARG,2005-10-31,2005,10,0.0318339100346021,0.016362481926776837,0.01612552646493118,0.0496304118268216,0.005345551359634181,0.016268282740718842,0.03183391003460212,0.0009875188607385676,0.013916478971166426,0.010847457627118695,0.9765744022905478,-0.1953331138822123,0.0318339100346021,0.0318339100346021,0.9780722324422282,0.9180016771258086,0.0318339100346021,0.02471667342631185,0.0,0.0,0.0
ARG,2005-11-30,2005,11,-0.0120724346076458,0.006471858118221034,0.02273330497850997,0.019024558976133088,0.004890572350632082,0.0167910016666532,0.02899056933286781,0.000715945920270909,0.014154885071341357,0.007523939808481872,0.8760847345857538,-0.30798027900204694,0.0318339100346021,0.0318339100346021,0.9490903018087478,0.772109244801227,0.0318339100346021,0.02471667342631185,0.0,0.0,0.0
ARG,2005-12-31,2005,12,0.0224032586558045,0.01405491136092027,0.023113047221819623,0.04221453287197252,0.008391592814688915,0.018058991678931977,0.050575514475061034,0.0015853921215241093,0.015191460521857238,0.01791145657316684,0.09444878842657084,-2.157155049163358,0.0318339100346021,0.0318339100346021,0.8345307488935347,-0.11422914409152267,0.0318339100346021,0.027118584345203298,0.0,0.0,0.0
ARG,2006-01-31,2006,1,0.0116201859229747,0.007317003323711134,0.01763608210065189,0.021797451374916177,0.011839742625243982,0.015905087337086277,0.07250967969025002,0.0041026876646716335,0.014000977280577942,0.04924242424242431,-0.4562712692902255,-0.5362018029945048,0.0318339100346021,0.0318339100346021,0.7776115470009329,-0.3848870185744396,0.0318339100346021,0.027118584345203298,0.0,0.0,0.0
ARG,2006-02-28,2006,2,0.002297341647522,0.012106928742100403,0.010061792266543008,0.03665987780040725,0.009289393430160714,0.016023212344132835,0.05638187478381185,0.0038923880820385926,0.014008158968656715,0.04660726525017145,0.19995201402594673,-0.8641422407343424,0.0318339100346021,0.0318339100346021,0.830217906317298,-0.3226519584046579,0.0318339100346021,0.027118584345203298,0.0,0.0,0.0
ARG,2006-03-31,2006,3,0.0026195153896528,0.005512347653383168,0.0052919953916975085,0.016600265604249653,0.009783629507151715,0.01570922930161304,0.0595155709342563,0.004710406870792509,0.013581859374258678,0.05695547117708011,0.11681097731368276,-0.5518794003495864,0.0318339100346021,0.0318339100346021,0.7530475399264568,-0.20419366216252524,0.0318339100346021,0.027118584345203298,0.0,0.0,0.0
ARG,2006-04-30,2006,4,-0.0111038536903983,-0.0020623322177411654,0.007831844092263628,-0.006235641614703136,0.002627335552984982,0.013241572793979625,0.015425888665325349,0.003986443456309584,0.014213141993066116,0.0477508650519034,0.3483563934248503,-0.7460861756069415,0.0224032586558045,0.0224032586558045,0.7041258911167539,-0.4287180087032345,0.0318339100346021,0.027118584345203298,0.0,0.0,0.0
ARG,2006-05-31,2006,5,0.0122192866578598,0.0012449827857047683,0.011722168051846359,0.003601833660772824,0.006675955763902582,0.011439148393484028,0.04039375424304126,0.005783264057267334,0.013729603207156488,0.07055536150890673,-0.3186587006638797,0.4256531029135191,0.0224032586558045,0.0224032586558045,0.4304376044946607,-0.5172138696521874,0.0318339100346021,0.027118584345203298,0.0,0.0,0.0
ARG,2006-06-30,2006,6,0.000326264274062,0.00048056574717450154,0.01166233577096347,0.001306335728282093,0.0029964567002788317,0.008555803006708617,0.017928286852589626,0.005694024757483876,0.01376414052669825,0.06941053365887662,-0.66917051016876,0.5881478307222373,0.0122192866578598,0.0122192866578598,0.44727810129477225,-0.5337859744208452,0.0318339100346021,0.027118584345203298,0.0,0.0,0.0
ARG,2006-07-31,2006,7,-0.004566210045662,0.002659780295419935,0.008632624031112418,0.00792602377807139,0.00029872403883938185,0.007812393730172838,0.001640958319658381,0.0060692333320416835,0.013381166632836412,0.07426962337205234,0.07342595513488012,0.834841691339802,0.0122192866578598,0.0122192866578598,0.4831293835464123,-0.3810472139008049,0.0318339100346021,0.027118584345203298,0.0,0.0,0.0
ARG,2006-08-31,2006,8,0.0081913499344692,0.0013171347209564015,0.006436241321117622,0.003915171288743968,0.001281058753330582,0.008457856243884523,0.0075311067452523694,0.005285226091745651,0.012911564947136056,0.06433759944655804,-0.2277800095221015,-0.6011598138394618,0.0122192866578598,0.0122192866578598,0.6794696544513313,0.27990616524570355,0.0318339100346021,0.027118584345203298,0.0,0.0,0.0
ARG,2006-09-30,2006,9,0.0022749431264219,0.0019666943384097015,0.006384363488105015,0.005870841487280121,0.0012236300427920987,0.008448114734662138,0.007184846505551956,0.005503629774971909,0.012829558950800854,0.06712802768166148,-0.19868270592126544,-0.5889430809144562,0.0122192866578598,0.0122192866578598,0.6391067866875446,0.3200023585988483,0.0318339100346021,0.027118584345203298,0.0,0.0,0.0
ARG,2006-10-31,2006,10,-0.004863813229572,0.001867493277106368,0.006537111965143241,0.005570117955439269,0.0022636367862631486,0.006862268416397931,0.013540290620872142,0.002445486169624067,0.010056868841124804,0.029175050301811112,0.47077317522735346,-1.2532809190133924,0.0122192866578598,0.0122192866578598,0.3810550501447221,-0.037911387673033814,0.0224032586558045,0.01731127265683215,0.0,0.0,0.0
ARG,2006-11-30,2006,11,-0.0068426197458455,-0.0031438299496651992,0.004795961326461239,-0.00942476438089035,-0.0009133476143544016,0.005633883269390824,-0.005546492659053492,0.0028813040747740926,0.009466526485022516,0.03462321792260714,0.788838990829068,-0.2503576431949036,0.0081913499344692,0.0081913499344692,0.5814666827906465,0.1535402566493935,0.0224032586558045,0.01731127265683215,0.0,0.0,0.0
ARG,2006-12-31,2006,12,-0.0019685039370079,-0.0045583123041417995,0.0024513770295845937,-0.013618677042801508,-0.0012958089828660516,0.005610744344675114,-0.007827788649706235,0.0008503238587063922,0.007253097896376243,0.009960159362550014,1.1007248984366682,0.45106360255367706,0.0081913499344692,0.0081913499344692,0.16986985529318982,-0.6742610194375107,0.0122192866578598,0.01191973629041725,0.0,0.0,0.0
ARG,2007-01-31,2007,1,0.0147928994082842,0.0019939252418102672,0.011348989206759533,0.0058651026392964045,0.0019307092594583151,0.008283607369765158,0.0114678899082572,0.0011147166491488505,0.00772392011598477,0.01312766655726949,0.6993499038559207,-0.7206540435458646,0.0147928994082842,0.0147928994082842,0.36330102065997694,-0.4280162894473948,0.0147928994082842,0.013506093033072,0.0,0.0,0.0
ARG,2007-02-28,2007,2,-0.0022675736961451,0.0035189405917104006,0.009764679781163467,0.010498687664042272,0.0001875553210225984,0.007788314316684249,0.0009749756256098863,0.0007343070371765921,0.007772639132693005,0.008513425016372533,1.6659762743422766,3.010300025938384,0.0147928994082842,0.0147928994082842,0.523484055502068,-0.3888901544142295,0.0147928994082842,0.013506093033072,0.0,0.0,0.0
